abs,rel,p5no,3no,best,avg,break
122.73255897903248,0.6980572275180162,0.001,0.012,-9651.0,-8554.778,0.02799999999999992
170.9939803560205,0.9725502738844203,0.0,0.0,-9125.0,-7786.41,0.01701999999999981
177.284665154533,1.0083293534226345,0.0,0.0,-9301.0,-7757.842,0.015109999999999813
187.3246230361833,1.0654329062334236,0.0,0.0,-8929.0,-7509.87,0.015949999999999805
221.59812528463152,1.260367862009678,0.0,0.0,-8883.0,-7040.488,0.012759999999999827
228.46023905452972,1.2993970173778693,0.0,0.0,-8455.0,-6796.044,0.0172899999999998
254.73861987164454,1.448858690869022,0.0,0.0,-8571.0,-6621.696,0.011759999999999863
268.41431708066716,1.526640979102229,0.0,0.0,-8265.0,-6239.436,0.011989999999999848
275.20234110838066,1.5652487395247987,0.0,0.0,-8489.0,-6510.608,0.008489999999999921
291.12324606026016,1.6558009358021166,0.0,0.0,-8543.0,-6209.468,0.006699999999999941
310.89650825054645,1.7682639097542538,0.0,0.0,-8155.0,-5787.548,0.010109999999999885
348.4465007219184,1.981834325428275,0.0,0.0,-7677.0,-5352.848,0.010509999999999882
175.82019659822927,1.0,0.0,0.001,-9471.0,-7819.76,0.015689999999999812
