abs,rel,p5no,3no,best,avg,break
70.4971980487373,0.4749753403005629,0.483,0.696,-1491.0,-1441.566,0.004049999999999998
87.22611385087613,0.5876865216795322,0.362,0.656,-1491.0,-1429.524,0.0035499999999999967
87.32830112604798,0.5883750091250273,0.447,0.742,-1491.0,-1447.808,0.0022
94.12481881089091,0.6341665921888721,0.428,0.677,-1491.0,-1436.8,0.002849999999999999
102.79996687329228,0.6926154599048373,0.19,0.497,-1491.0,-1402.474,0.0033999999999999968
103.16580845046039,0.69508031996199,0.244,0.534,-1491.0,-1408.208,0.0031999999999999976
110.03044282196983,0.7413308396548793,0.198,0.535,-1491.0,-1408.1,0.0022
124.2788341746767,0.8373294710729511,0.161,0.375,-1491.0,-1375.886,0.00235
127.97763981916266,0.862250198680888,0.195,0.457,-1491.0,-1395.722,0.0014500000000000006
142.23358625568426,0.9582997325263644,0.168,0.332,-1491.0,-1366.912,0.0015500000000000008
144.25218612112678,0.9719000625331881,0.071,0.129,-1491.0,-1324.282,0.0022500000000000003
154.28147672152127,1.0394724745970307,0.049,0.167,-1491.0,-1306.206,0.0012500000000000005
148.42285918280916,1.0,0.095,0.273,-1491.0,-1347.478,0.0010000000000000002
