abs,rel,p5no,3no,best,avg,break
79.68050699874176,0.5104177478595477,0.29,0.652,-1487.0,-1447.242,0.0067999999999999935
81.0548218784068,0.5192213402581198,0.276,0.594,-1487.0,-1441.856,0.006949999999999991
91.1739655217722,0.5840425958356652,0.259,0.584,-1487.0,-1438.996,0.0056499999999999944
111.13084232741582,0.711882446473261,0.157,0.436,-1487.0,-1413.714,0.0046499999999999935
120.95744627667433,0.7748297499708087,0.211,0.499,-1487.0,-1415.184,0.003349999999999997
131.5649806317017,0.8427795409519497,0.16,0.385,-1487.0,-1402.984,0.0034499999999999973
133.86485206506163,0.8575120676588973,0.116,0.337,-1487.0,-1386.852,0.0032999999999999982
155.8976700634594,0.9986499916673262,0.116,0.308,-1487.0,-1369.936,0.001850000000000001
159.46507191763283,1.0215020704090683,0.103,0.281,-1487.0,-1369.52,0.002499999999999999
166.3198614955734,1.0654125121244902,0.057,0.2,-1487.0,-1349.174,0.0022500000000000003
171.9474896084599,1.101461997442348,0.054,0.221,-1487.0,-1348.208,0.0014000000000000006
184.49412632131418,1.1818332989739526,0.043,0.125,-1487.0,-1306.416,0.0021000000000000007
156.108417728193,1.0,0.087,0.28,-1487.0,-1370.576,0.0023999999999999994
