abs,rel,p5no,3no,best,avg,break
98.85954299165242,0.6359372136452592,0.035,0.329,-4345.0,-4133.89,0.01797999999999986
123.66147904220863,0.7954814885599271,0.052,0.232,-4345.0,-4078.922,0.01427999999999987
131.7098953008884,0.8472548151899542,0.022,0.136,-4345.0,-4021.068,0.014099999999999842
179.19205566890946,1.1526949563086153,0.004,0.034,-4345.0,-3700.006,0.006639999999999973
181.2634511110707,1.1660196936681309,0.001,0.021,-4345.0,-3686.832,0.006279999999999975
185.27111163922171,1.1917999106546049,0.002,0.013,-4345.0,-3631.702,0.006379999999999973
197.88547986972907,1.2729447950192987,0.004,0.011,-4345.0,-3408.746,0.0071399999999999615
198.77919585423498,1.278693832853966,0.004,0.017,-4345.0,-3642.358,0.0034200000000000025
244.85885890070404,1.5751120807711987,0.001,0.002,-4345.0,-3162.228,0.0036200000000000026
249.62450315289348,1.6057682059691252,0.001,0.001,-4341.0,-3062.464,0.002780000000000002
286.1220792453748,1.8405474305404772,0.0,0.002,-4279.0,-2769.238,0.002880000000000002
304.0372090723898,1.9557907080179688,0.0,0.001,-4253.0,-2684.512,0.002920000000000002
155.45487961772056,1.0,0.015,0.071,-4345.0,-3904.13,0.008559999999999943
