abs,rel,p5no,3no,best,avg,break
71.86708795916984,0.4842049826748906,0.512,0.774,-1491.0,-1453.058,0.0026499999999999996
82.95802547854034,0.5589302479098773,0.663,0.901,-1491.0,-1469.332,0.0011500000000000006
86.57241286261608,0.583282206927349,0.566,0.842,-1491.0,-1461.454,0.0016500000000000009
104.44871385022802,0.7037239036177092,0.377,0.794,-1491.0,-1448.814,0.0007000000000000001
106.24800525068301,0.7158466413843954,0.341,0.69,-1491.0,-1433.774,0.0008000000000000001
106.88991608387447,0.7201715198884595,0.453,0.788,-1491.0,-1451.822,0.0005499999999999999
110.89991205840543,0.7471888944129048,0.379,0.632,-1491.0,-1431.488,0.0009000000000000002
112.73542871158259,0.75955570006052,0.407,0.775,-1491.0,-1448.34,0.00039999999999999996
129.46431218008212,0.8722666635913797,0.403,0.742,-1491.0,-1441.91,0.00025
137.77499175785826,0.9282599224703241,0.295,0.669,-1491.0,-1430.602,0.00025
144.26709322463645,0.9720004992421407,0.228,0.594,-1491.0,-1419.024,0.00039999999999999996
144.95225901642496,0.9766168083171775,0.254,0.624,-1491.0,-1422.422,0.00035
148.42285918280916,1.0,0.31,0.659,-1491.0,-1427.6,0.0002
