abs,rel,p5no,3no,best,avg,break
175.37545194280202,0.8457586322680648,0.03,0.291,-5473.0,-4995.098,0.005579999999999982
193.239549572919,0.9319093141963347,0.017,0.132,-5473.0,-4816.51,0.003800000000000003
196.59380967969398,0.9480854346781372,0.032,0.199,-5473.0,-4901.32,0.003120000000000002
238.57093560936562,1.1505226413654357,0.009,0.035,-5473.0,-4559.982,0.001740000000000001
240.24078643727063,1.1585755971049954,0.0,0.021,-5431.0,-4568.686,0.0018000000000000013
243.95808912518834,1.1765025122018988,0.004,0.04,-5473.0,-4608.572,0.001600000000000001
288.845122794417,1.392972923437327,0.0,0.004,-5431.0,-4341.422,0.001420000000000001
305.3954328932134,1.4727877862228873,0.001,0.011,-5467.0,-4290.71,0.0015800000000000009
307.2294734825645,1.4816325569316158,0.001,0.008,-5467.0,-4293.53,0.0012200000000000006
366.6286404451443,1.7680886011020314,0.0,0.002,-5431.0,-4096.268,0.0009000000000000005
371.96006889804283,1.7937997344813434,0.0,0.0,-5239.0,-4061.45,0.0010200000000000005
408.8574760986697,1.9717396930247877,0.0,0.003,-5421.0,-4059.912,0.0008600000000000004
207.35874899969858,1.0,0.009,0.116,-5473.0,-4826.862,0.0024800000000000017
