abs,rel,p5no,3no,best,avg,break
89.43988512650267,0.5753430535371067,0.069,0.406,-4345.0,-4179.022,0.011859999999999952
97.9654614588994,0.6301858243356946,0.094,0.48,-4345.0,-4191.064,0.00931999999999997
112.83714248406858,0.7258514030665788,0.155,0.554,-4345.0,-4205.672,0.006119999999999986
148.8440692462879,0.9574744106605767,0.141,0.416,-4345.0,-4165.098,0.0036400000000000026
155.41532122213144,0.9997455313356106,0.123,0.368,-4345.0,-4148.592,0.0024200000000000016
174.29514827112942,1.121194450117867,0.117,0.35,-4345.0,-4124.592,0.0011800000000000007
225.27006975555614,1.4491025969047626,0.033,0.122,-4345.0,-3936.254,0.0004400000000000001
225.92032607473718,1.4532855232997404,0.038,0.145,-4345.0,-3981.258,0.0006400000000000003
230.4526867573946,1.4824409971825991,0.056,0.158,-4345.0,-3984.256,0.0006000000000000002
275.520971558587,1.7723533171562142,0.011,0.052,-4345.0,-3788.144,0.00036
299.47759385669127,1.9264599129544038,0.005,0.041,-4345.0,-3739.882,0.00042000000000000007
302.73388846478235,1.9474067923067833,0.013,0.047,-4345.0,-3662.048,0.0004800000000000002
155.45487961772056,1.0,0.138,0.432,-4345.0,-4167.348,0.0024200000000000016
