abs,rel,p5no,3no,best,avg,break
132.60646575137366,0.7542163432702541,0.013,0.193,-9681.0,-9117.938,0.006129999999999943
143.1886252875321,0.8144037377840936,0.012,0.258,-9681.0,-9147.826,0.0034299999999999864
176.86832961199167,1.0059613914330758,0.002,0.033,-9681.0,-8669.298,0.0025199999999999953
187.27074467535044,1.0651264661208808,0.001,0.04,-9651.0,-8662.086,0.0022599999999999977
188.23967433871928,1.0706373783034155,0.0,0.023,-9597.0,-8594.96,0.0019700000000000017
206.8029799364274,1.1762185683877808,0.0,0.006,-9613.0,-8373.452,0.0016700000000000013
240.14269920409927,1.3658425132628809,0.0,0.004,-9521.0,-8112.406,0.0016400000000000013
271.16931911201794,1.5423104077836582,0.0,0.0,-9177.0,-7782.548,0.0016300000000000012
337.25359800077916,1.91817325043405,0.0,0.0,-8649.0,-6963.278,0.0017600000000000014
338.3346515791696,1.924321881816034,0.0,0.0,-8665.0,-6962.576,0.0017300000000000013
338.6416441115826,1.9260679413606863,0.0,0.0,-8677.0,-6966.722,0.0015400000000000012
175.82019659822927,1.0,0.001,0.063,-9681.0,-8793.082,0.002239999999999997
