abs,rel,p5no,3no,best,avg,break
148.8703009956141,0.8467189997278924,0.0,0.009,-9607.0,-8365.514,0.016749999999999814
152.7383162442154,0.8687188343512162,0.0,0.001,-9613.0,-8208.848,0.017189999999999823
184.6008298705079,1.0499409819927767,0.0,0.0,-9153.0,-7851.02,0.010379999999999877
184.727642286035,1.0506622439295774,0.0,0.0,-9253.0,-7731.384,0.014089999999999832
190.8622032356829,1.0855533489808709,0.0,0.0,-9275.0,-7505.736,0.016829999999999797
231.48561564027108,1.3166042361404253,0.0,0.0,-9099.0,-7100.662,0.009239999999999905
238.44492088159058,1.3561861805129616,0.0,0.0,-8891.0,-7015.928,0.00788999999999993
260.3294972409314,1.480657525573221,0.0,0.0,-8873.0,-6618.04,0.009439999999999896
279.0280227948908,1.587007796564487,0.0,0.0,-8099.0,-6129.078,0.012979999999999835
298.758418578295,1.6992269623096523,0.0,0.0,-7969.0,-5789.04,0.011329999999999871
309.1352888491006,1.758246747701646,0.0,0.0,-8311.0,-5907.784,0.007149999999999937
344.85099486382427,1.961384423041291,0.0,0.0,-7731.0,-5638.052,0.007439999999999936
175.82019659822927,1.0,0.0,0.0,-9257.0,-8026.69,0.011649999999999858
