abs,rel,p5no,3no,best,avg,break
84.81202944813987,0.5432892773009186,0.369,0.638,-1487.0,-1439.82,0.005899999999999991
85.67374928287394,0.5488092860696606,0.38,0.657,-1487.0,-1441.918,0.006149999999999993
91.7328970651643,0.5876230020144355,0.287,0.62,-1487.0,-1434.09,0.005999999999999991
94.27297872871996,0.6038942684875754,0.364,0.579,-1487.0,-1426.656,0.0070499999999999894
99.25699655214017,0.6358209121365944,0.2,0.557,-1487.0,-1425.662,0.005349999999999993
110.38905653698747,0.7071307117415703,0.253,0.514,-1487.0,-1404.328,0.004599999999999996
127.74421041837591,0.8183044340427356,0.166,0.318,-1487.0,-1362.402,0.004149999999999994
149.95276731660297,0.9605681070811448,0.115,0.215,-1487.0,-1315.642,0.003199999999999998
151.8274799224564,0.9725771494706307,0.136,0.257,-1487.0,-1325.388,0.0026999999999999984
166.23194673620662,1.064849347366009,0.056,0.121,-1487.0,-1265.772,0.0028499999999999984
174.22391969177852,1.1160443634444313,0.058,0.144,-1487.0,-1283.532,0.0021500000000000004
186.27534983784759,1.1932434685372286,0.059,0.112,-1487.0,-1268.568,0.001900000000000001
156.108417728193,1.0,0.117,0.235,-1487.0,-1331.324,0.0023000000000000004
