abs,rel,p5no,3no,best,avg,break
55.78335369332161,0.35883951555910354,0.0,0.086,-4283.0,-3954.062,0.0794999999999999
93.6228488828781,0.6022509496846047,0.025,0.353,-4345.0,-4164.868,0.01749999999999989
125.02178526381641,0.8042319776082794,0.017,0.192,-4345.0,-4062.604,0.013159999999999865
132.75023356419197,0.853947035246744,0.012,0.175,-4345.0,-4043.652,0.01011999999999992
147.76270093860933,0.9505182552131712,0.022,0.121,-4345.0,-3987.06,0.008479999999999937
199.3232804602096,1.2821937847841502,0.003,0.019,-4345.0,-3595.658,0.003560000000000003
215.10563132164043,1.383717460980364,0.001,0.013,-4345.0,-3437.916,0.003120000000000002
226.91146251443632,1.4596612410780208,0.001,0.004,-4345.0,-3400.598,0.002960000000000002
236.72071986691248,1.522761591331407,0.0,0.002,-4283.0,-3378.242,0.002700000000000002
241.88809775803813,1.5560019624528074,0.0,0.004,-4267.0,-3360.1,0.003160000000000002
268.1086043300944,1.724671525200115,0.0,0.001,-4297.0,-3031.334,0.0026200000000000017
300.311039028247,1.9318212446385894,0.0,0.0,-4149.0,-2800.504,0.002500000000000002
155.45487961772056,1.0,0.022,0.093,-4345.0,-3942.73,0.006999999999999959
