abs,rel,p5no,3no,best,avg,break
194.78190273918227,0.9393474048180404,0.005,0.028,-5473.0,-4457.418,0.013459999999999854
205.64638549653742,0.9917420243350155,0.001,0.013,-5467.0,-4406.552,0.012419999999999877
207.90667244036393,1.002642393645354,0.001,0.016,-5473.0,-4375.124,0.010339999999999917
222.37964462333287,1.0724391697774764,0.005,0.015,-5473.0,-4325.764,0.01009999999999992
222.7917790639489,1.0744267128283684,0.002,0.012,-5473.0,-4348.112,0.010639999999999912
249.10540919567734,1.2013257718681523,0.0,0.002,-5401.0,-4196.09,0.007459999999999956
305.0555211700374,1.4711485415572259,0.0,0.0,-5187.0,-3765.846,0.007379999999999962
308.49704552222664,1.4877454990947843,0.0,0.0,-5095.0,-3698.008,0.00651999999999997
337.1098600728165,1.625732512850502,0.0,0.0,-4865.0,-3432.868,0.006619999999999972
344.3400527334135,1.6606005504687629,0.0,0.001,-5349.0,-3448.48,0.00615999999999998
354.1921953447897,1.7081130989332143,0.0,0.0,-5209.0,-3574.784,0.0053199999999999905
367.6076634050099,1.7728099980268701,0.0,0.0,-5043.0,-3363.904,0.005299999999999988
207.35874899969858,1.0,0.0,0.019,-5431.0,-4452.992,0.012039999999999895
